n,t_seconds
493009,3.7509016692638397e-07
10554,2.919696271419525e-07
1045,2.4994369596242905e-07
9876,2.919696271419525e-07
50709,2.919696271419525e-07
6945,2.909218892455101e-07
11454,2.50060111284256e-07
3294,2.9103830456733704e-07
84669,2.919696271419525e-07
1964,2.9208604246377945e-07
360489,3.341119736433029e-07
80187,3.33995558321476e-07
669556,3.33995558321476e-07
80030,2.919696271419525e-07
132516,2.919696271419525e-07
18505,2.50060111284256e-07
174634,3.330642357468605e-07
10490,2.909218892455101e-07
263483,2.919696271419525e-07
1192,2.0803418010473251e-07
6547,2.919696271419525e-07
128376,2.919696271419525e-07
1463,2.9103830456733704e-07
4626,2.4994369596242905e-07
5286,2.4994369596242905e-07
1740,2.50060111284256e-07
873369,3.330642357468605e-07
47494,8.124974556267262e-06
8961,2.919696271419525e-07
26238,2.50060111284256e-07
3691,2.919696271419525e-07
9868,2.4994369596242905e-07
737728,3.3294782042503357e-07
935300,2.919696271419525e-07
1895,2.50060111284256e-07
31426,2.909218892455101e-07
1420,2.4994369596242905e-07
208205,3.330642357468605e-07
545600,3.33995558321476e-07
444801,3.330642357468605e-07
246740,4.5797787606716156e-07
2436,2.4994369596242905e-07
49305,3.33995558321476e-07
55234,2.9208604246377945e-07
171350,3.330642357468605e-07
1446,2.4994369596242905e-07
59588,2.919696271419525e-07
924677,3.7497375160455704e-07
394282,3.3294782042503357e-07
270515,3.3294782042503357e-07
3164,2.50060111284256e-07
40626,3.330642357468605e-07
93347,2.909218892455101e-07
12208,2.919696271419525e-07
4499,3.7509016692638397e-07
35701,2.9208604246377945e-07
938709,3.33995558321476e-07
112352,3.33995558321476e-07
38034,2.919696271419525e-07
25188,2.9103830456733704e-07
1080,2.4994369596242905e-07
87518,3.3294782042503357e-07
25123,3.7497375160455704e-07
2127,2.50060111284256e-07
707122,3.330642357468605e-07
7796,2.909218892455101e-07
288086,3.330642357468605e-07
2654,2.50060111284256e-07
3480,2.909218892455101e-07
17876,2.919696271419525e-07
376025,3.341119736433029e-07
774552,3.33995558321476e-07
724953,3.3294782042503357e-07
6854,2.919696271419525e-07
34507,2.9208604246377945e-07
340504,3.330642357468605e-07
1722,2.4994369596242905e-07
130306,2.919696271419525e-07
285707,3.33995558321476e-07
92460,3.33995558321476e-07
472238,3.33995558321476e-07
3688,2.0908191800117493e-07
